Order ID,Product ID,Customer ID,Location ID,Sales,Quantity,Discount,Profit,Shipping Cost
ES-2012-5870268,TEC-MA-10000161,BS-11365,32,2402.865,9,0.15,763.155,699.55
CA-2012-139731,FUR-CH-10002024,JE-15745,33,2453.43,5,0.3,-350.49,690.42
IN-2011-28087,OFF-AP-10004246,DP-13105,34,2526.93,5,0.1,561.48,689.8
CA-2011-168494,FUR-TA-10003473,NP-18700,35,3610.848,12,0.2,135.4068,683.12
CG-2011-8610,TEC-APP-10000308,AH-30,36,3817.26,6,0.0,1068.66,678.15
CA-2011-160766,TEC-MA-10003979,DM-13015,1,2799.96,4,0.0,1371.9804,675.15
US-2014-168116,TEC-MA-10004125,GT-14635,37,7999.98,4,0.5,-3839.9904,674.82
ES-2014-2637201,TEC-CO-10000013,PO-18865,38,4141.02,13,0.0,1697.67,668.96
IN-2011-61302,TEC-PH-10004664,DL-12865,3,2875.095,5,0.1,511.095,665.27
ID-2013-63976,TEC-PH-10000499,JB-16000,39,3200.5962,6,0.17,-77.2038,660.87
IN-2014-37320,TEC-PH-10003856,BF-11005,40,4518.78,7,0.0,632.52,658.69
IN-2014-76016,FUR-BO-10004852,VG-21805,41,5667.87,13,0.0,2097.03,658.35
ES-2012-5877219,TEC-PH-10004583,GT-14710,42,5785.02,9,0.0,404.73,656.73
IT-2011-3183678,OFF-AP-10000486,ZC-21910,4,3018.624,7,0.2,377.244,655.91
CA-2011-116904,OFF-BI-10001120,SC-20095,43,9449.95,5,0.0,4630.4755,655.61
IT-2013-3085011,FUR-CH-10003365,EB-13840,44,2092.5,5,0.1,720.75,652.98
IN-2014-50473,FUR-CH-10000602,AP-10915,45,2761.2,6,0.0,110.34,644.75
IN-2014-35983,TEC-MA-10002680,SW-20275,46,2174.13,7,0.0,500.01,637.86
MX-2014-126984,FUR-CH-10000891,JH-15820,47,3473.14,11,0.0,868.12,634.53
US-2012-163825,OFF-BI-10003527,LC-16885,1,3050.376,3,0.2,1143.891,632.05
IR-2014-8540,TEC-CAN-10003392,TG-11640,48,2108.64,8,0.0,527.04,630.97
US-2014-135013,TEC-CO-10001449,HR-14830,49,2399.96,5,0.2,839.9860000000001,630.05
IN-2011-10286,FUR-BO-10001372,PB-19210,27,2197.5,5,0.0,153.75,627.27
MZ-2013-3690,TEC-MOT-10002272,DG-3300,50,2582.16,4,0.0,593.88,627.17
IN-2012-66342,TEC-CO-10004997,SG-20470,51,1526.52,4,0.0,732.72,625.77
CA-2012-111829,TEC-CO-10001766,FH-14365,52,3149.93,7,0.0,1480.4671,617.92
IN-2012-48240,FUR-TA-10000226,GP-14740,53,1745.34,2,0.0,226.86,616.27
IN-2014-61792,OFF-AP-10002244,MW-18220,54,4191.507000000001,9,0.1,1164.267,614.34
CA-2014-129021,TEC-PH-10001459,PO-18850,55,4367.896,13,0.2,327.5922,609.44
IN-2014-75470,FUR-BO-10001073,CS-12460,56,3063.27,7,0.0,581.91,609.24
CA-2012-114811,TEC-MA-10000045,KD-16495,1,4643.8,4,0.0,2229.024,607.34
ES-2014-4673578,TEC-PH-10002035,MS-17980,57,4473.0,7,0.0,313.11,604.4
IT-2013-3376681,TEC-PH-10002565,KC-16675,58,1502.01,9,0.0,225.18,600.21
IN-2014-66615,FUR-CH-10000027,DB-13405,59,5049.0,11,0.0,656.37,595.5
CA-2013-143805,OFF-AP-10002945,JD-15895,60,2104.55,7,0.0,694.5015,594.02
IT-2014-4540740,FUR-BO-10004999,DK-13090,61,2188.05,5,0.0,1050.15,593.91
IN-2014-11231,FUR-TA-10001205,CS-11845,62,1920.36,4,0.0,652.92,592.77
MX-2014-154907,TEC-PH-10004196,EM-14200,63,1704.0,4,0.0,119.28,592.73
UP-2011-8610,FUR-CHR-10001018,DW-3480,64,1858.68,4,0.0,130.08,590.56
IN-2013-40050,FUR-CH-10003232,AS-10225,65,3298.26,7,0.0,1055.25,589.36
MX-2011-110275,OFF-AP-10001630,ST-20530,66,2443.48,13,0.0,121.94,589.29
CG-2013-6110,FUR-HAR-10002873,BW-1065,67,3808.8,8,0.0,1523.52,588.13
IN-2014-30110,FUR-TA-10000687,LA-16780,68,3427.1496,7,0.47,-452.8104,586.57
ES-2012-2058076,TEC-PH-10004505,AB-10150,69,3441.69,6,0.1,38.07,585.25
IN-2014-51950,TEC-PH-10002683,JH-15820,70,2863.35,5,0.1,858.9,581.88
CA-2012-145352,OFF-BI-10003527,CM-12385,71,6354.95,5,0.0,3177.475,581.12
ES-2013-4670866,TEC-CO-10002269,BE-11410,72,1487.4,10,0.0,728.7,580.98
IN-2011-62506,TEC-CO-10002526,SZ-20035,73,3200.04,9,0.0,1183.95,576.71
IN-2011-46413,FUR-CH-10000602,RM-19375,74,2301.0,5,0.0,91.95,573.27
ES-2014-3785216,FUR-CH-10002891,HG-14845,75,5729.346,14,0.1,63.54600000000001,572.95
MO-2014-2000,TEC-CAN-10001437,DP-3105,76,5301.24,14,0.0,2597.28,568.45
CA-2014-138289,OFF-BI-10004995,AR-10540,77,5443.96,4,0.0,2504.2216,567.95
CA-2014-118892,FUR-CH-10002024,TP-21415,78,4416.174,9,0.3,-630.882,566.65
ES-2013-1434123,TEC-PH-10004327,JB-16000,79,3219.9,5,0.0,965.85,564.25
ID-2012-78207,OFF-AP-10001621,AM-10705,80,2487.8088,6,0.17,-269.7912,562.14
MO-2013-8630,OFF-HOO-10001881,AB-255,81,2266.44,4,0.0,113.28,556.45
IN-2012-64774,TEC-CO-10001954,RP-19270,6,3068.361,9,0.1,1124.901,555.77
IN-2013-48765,FUR-BO-10003282,BK-11260,82,3728.43,9,0.0,1192.86,553.31
IN-2013-69730,TEC-CO-10003102,JM-15250,23,1581.48,6,0.0,0.0,550.74
IN-2012-48240,TEC-PH-10004664,GP-14740,53,1916.73,3,0.0,498.33,548.4
US-2013-102239,FUR-TA-10003392,LW-16990,83,1685.88,6,0.0,320.3172,548.08
ES-2013-3467296,OFF-AP-10002552,NZ-18565,16,2432.16,5,0.1,513.36,546.9
CA-2014-6550,TEC-MOT-10000554,SV-10815,84,3863.88,6,0.0,1159.02,546.56
ID-2013-25742,FUR-CH-10001415,SC-20695,85,2465.82,7,0.25,197.19,546.49
IN-2012-86698,FUR-TA-10003627,NC-18625,86,1847.52,2,0.0,738.96,545.89
ES-2013-2903666,FUR-BO-10001133,NF-18385,87,2899.89,7,0.0,927.78,541.59
IN-2012-30446,FUR-CH-10000027,NZ-18565,88,2891.7,7,0.1,96.39,541.57
IT-2012-1779015,TEC-MA-10003515,PM-18940,89,2016.846,9,0.15,-0.054,540.77
ES-2013-3903130,OFF-AP-10002904,MZ-17335,90,3155.544,7,0.1,34.944,539.94
CG-2013-3470,TEC-MOT-10003348,HM-4980,91,3856.14,6,0.0,1465.2,533.99
IN-2014-13639,TEC-PH-10001990,RW-19540,92,3524.472,6,0.1,861.372,531.28
ES-2012-2510515,TEC-PH-10002898,LH-17155,93,2167.296,4,0.15,790.416,531.09
MX-2012-153157,TEC-PH-10004196,FH-14365,94,2556.0,6,0.0,178.92,530.49
ES-2011-2585328,TEC-CO-10001633,KM-16660,95,1469.25,5,0.0,308.4,527.87
ES-2011-4500805,TEC-PH-10002623,PO-18865,96,4448.832,8,0.15,1517.712,527.85
CA-2014-107174,FUR-TA-10004575,AB-10060,52,2036.86,7,0.0,366.6348,524.76
MX-2013-113824,FUR-BO-10001498,AB-10060,97,2472.66,9,0.0,914.76,523.47
IN-2013-45076,OFF-AP-10003598,DB-13060,34,3739.176,8,0.1,747.816,522.79
IT-2013-5208514,FUR-CH-10001582,VM-21685,98,2570.865,11,0.5,-2211.165,520.89
US-2013-107440,TEC-MA-10001047,BS-11365,99,9099.93,7,0.0,2365.9818,516.91
ES-2012-2314672,TEC-PH-10000505,DM-13525,100,2875.77,9,0.5,-1783.08,516.63
ES-2012-4765389,FUR-BO-10002003,NM-18520,101,1741.8,4,0.0,261.24,515.24
IN-2013-15368,TEC-CO-10001775,LC-16885,6,1601.64,5,0.1,587.19,511.47
IN-2011-18385,OFF-AP-10000647,RO-19780,102,3670.8,7,0.0,367.08,510.72
CA-2012-149846,TEC-MA-10004002,SB-20185,29,2973.32,7,0.2,334.4985,510.18
ES-2013-2757712,TEC-CO-10001926,EM-14065,103,1900.95,5,0.0,589.2,506.89
CA-2011-106726,OFF-ST-10001496,RS-19765,29,1261.33,7,0.0,327.9458,506.49
IT-2011-1978668,FUR-CH-10002203,ON-18715,104,4544.1,11,0.1,1868.13,506.27
IN-2013-63773,FUR-BO-10001934,VS-21820,105,1455.12,4,0.0,116.4,504.56
IN-2013-10965,TEC-CO-10000562,CM-12115,106,1943.19,6,0.1,258.93,499.62
CA-2011-145541,TEC-MA-10001127,TB-21400,1,6999.96,4,0.0,2239.9872,499.55
CA-2013-117121,OFF-BI-10000545,AB-10105,107,9892.74,13,0.0,4946.37,498.7
ID-2013-79432,TEC-CO-10002035,JK-15325,106,1695.87,5,0.1,-37.83,498.62
IT-2014-4499061,TEC-CO-10004099,RP-19270,108,1505.979,6,0.15,-265.761,498.52
IN-2014-34226,TEC-PH-10003002,DW-13540,109,1954.17,3,0.0,312.66,498.38
CA-2011-136567,FUR-TA-10001932,PS-19045,110,2244.48,7,0.0,493.7856,498.14
CA-2013-143714,TEC-CO-10004722,CC-12370,78,8399.976,4,0.4,1119.9968,498.08
CA-2011-151330,FUR-CH-10000749,TC-21295,111,1628.82,9,0.0,260.6112,496.46
MX-2014-158386,TEC-CO-10004398,GM-14440,112,1213.18876,7,0.002,508.0087599999999,493.41
IN-2013-30663,TEC-CO-10004535,SV-20815,113,1590.6,5,0.0,572.55,493.2
IN-2013-77444,TEC-AC-10000420,MM-17920,114,2330.64,9,0.0,1025.46,492.79
IN-2014-39077,FUR-BO-10001212,JK-16120,68,3278.5848,8,0.07,140.8248,492.28
ID-2012-60980,TEC-PH-10001670,EM-14200,115,3741.5238,7,0.17,946.6338,491.91
CA-2013-128594,FUR-CH-10001215,DJ-13510,116,1603.136,4,0.2,100.196,489.6
IN-2012-57025,FUR-BO-10004679,PM-18940,117,3637.602,10,0.07,156.402,487.86
MX-2013-157868,OFF-AP-10001776,AT-10435,118,2455.88,7,0.0,785.82,487.48
ID-2012-66111,TEC-MA-10003704,AB-10015,119,1024.68,8,0.5,-286.92,487.32
CA-2011-120474,FUR-CH-10001854,RP-19390,120,2807.84,8,0.0,673.8816,487.15
CA-2013-100300,TEC-MA-10000984,MJ-17740,116,4476.8,4,0.2,503.64,485.47
MX-2012-164791,TEC-AC-10000376,PV-18985,121,2297.96,14,0.0,988.12,483.26
IT-2013-1350483,TEC-CO-10003800,SB-20290,122,2671.41,7,0.0,534.24,483.04
SO-2014-4990,TEC-SAM-10004230,SM-10005,123,3834.0,6,0.0,268.38,481.04
CA-2014-149559,FUR-CH-10002320,KF-16285,124,2054.272,8,0.2,256.784,480.56
IN-2012-30943,OFF-AP-10002312,KH-16330,125,3501.7368,8,0.17,210.8568,479.96
IN-2014-13324,TEC-PH-10000169,MP-18175,92,1725.462,3,0.1,747.612,479.94
IN-2012-46889,TEC-CO-10000865,LH-17020,126,1583.7,5,0.0,174.15,479.67
CA-2012-114069,FUR-CH-10000595,ND-18370,1,1931.04,9,0.1,321.84,477.15
ID-2013-35640,FUR-BO-10000288,CR-12625,3,2760.345,7,0.1,-214.725,475.34
IN-2011-30292,TEC-AC-10000866,NC-18625,56,3078.72,12,0.0,523.08,474.44
IT-2011-3675195,OFF-AP-10001623,GM-14680,127,1983.135,7,0.5,-1784.895,473.27
ES-2014-2034971,FUR-BO-10003541,RA-19945,128,1112.778,3,0.1,296.658,472.0
ES-2011-1426891,TEC-CO-10004365,DB-13060,129,3616.5,10,0.0,36.0,471.92
CA-2014-159366,TEC-MA-10000822,BW-11110,107,3059.982,2,0.1,679.9960000000001,471.22
IN-2013-14773,TEC-PH-10000499,RF-19735,92,2892.105,5,0.1,160.605,470.29
ES-2012-4934238,TEC-PH-10000800,JH-15820,130,3263.4,5,0.0,848.4,469.29
CA-2013-108987,FUR-BO-10004834,AG-10675,131,2396.2656,4,0.32,-317.1528,469.16
MX-2014-111941,FUR-TA-10001642,DM-12955,132,3117.088,13,0.2,38.948,466.7
US-2013-143819,TEC-MA-10003979,KD-16270,133,4899.93,7,0.0,2400.9657,466.33
MX-2014-152961,OFF-AP-10001041,BE-11335,134,1888.7,5,0.0,887.6,465.92
IN-2013-17041,OFF-AP-10002090,SO-20335,135,3000.78,6,0.0,1080.18,465.63
ES-2013-4679331,OFF-AP-10002330,DK-12835,136,3801.63,7,0.0,1444.59,465.02
SA-2014-1270,TEC-CIS-10002344,LC-7050,137,5211.12,8,0.0,1146.24,463.98
IN-2011-10286,FUR-TA-10002153,PB-19210,27,1356.03,3,0.0,311.85,458.97
IN-2014-12897,OFF-AP-10004964,CG-12520,106,3569.643,7,0.1,674.163,458.54
CA-2013-134887,TEC-AC-10003832,TB-21280,138,1287.45,5,0.0,244.6155,457.14
ID-2014-10076,FUR-BO-10004679,HG-15025,139,2910.0816,8,0.07,125.1216,456.32
ID-2013-70122,FUR-CH-10002061,AD-10180,140,3126.4002,9,0.27,-128.7198,455.71
ES-2011-2257437,TEC-PH-10002759,BP-11155,69,5276.988,9,0.1,1758.888,454.81
ID-2014-63920,TEC-PH-10001699,AA-10480,115,2645.376,5,0.17,-0.024,452.6
ID-2013-29564,FUR-BO-10001934,RL-19615,86,1637.01,5,0.1,-36.39,452.28
CA-2013-108196,TEC-MA-10000418,CS-12505,141,4499.985,5,0.7,-6599.978,451.63
ID-2012-36403,TEC-PH-10001699,SW-20245,142,2645.376,5,0.17,-0.024,451.03
CA-2014-127180,TEC-PH-10001494,TA-21385,1,2399.6,8,0.0,647.8919999999999,449.45
IN-2011-19351,FUR-TA-10001889,BW-11110,143,3238.305,5,0.3,-740.295,449.18
ES-2014-5842530,FUR-BO-10000490,YC-21895,69,2291.814,7,0.1,127.134,448.91
MX-2011-137897,TEC-PH-10000018,JM-15580,144,2124.5,5,0.0,488.6,447.66
BO-2014-8960,FUR-HON-10003533,MZ-7335,145,2757.78,6,0.0,744.48,446.33
ES-2013-2220066,TEC-AC-10001949,JF-15295,146,1549.98,6,0.0,139.32,443.92
CA-2011-127299,TEC-MA-10001127,JL-15835,147,2624.985,3,0.5,-944.9946,443.69
UP-2014-4500,OFF-HOO-10004910,DJ-3510,148,3146.4,6,0.0,629.28,443.55
ES-2014-2440513,TEC-MA-10001335,MF-18250,149,2456.619,11,0.15,664.7189999999999,442.49
IT-2011-5629016,FUR-TA-10000347,TC-21295,150,2228.6355,7,0.35,-754.4145,440.25
CA-2014-133263,TEC-CO-10001449,JE-15610,71,2999.95,5,0.0,1439.976,439.69
IN-2014-65488,OFF-AP-10002090,CP-12340,151,4001.04,8,0.0,1440.24,439.65
ES-2014-5530354,TEC-PH-10000493,EH-14125,152,4876.875,9,0.15,745.875,439.41
IN-2012-23782,FUR-TA-10003596,NC-18340,70,1788.822,6,0.3,204.282,439.03
IN-2014-37320,OFF-AP-10002244,BF-11005,40,3622.29,7,0.0,1267.77,438.89
ID-2013-31720,FUR-TA-10003179,JS-16030,139,1242.585,5,0.47,-140.715,437.85
ES-2011-1712442,TEC-PH-10001396,AM-10360,153,4453.05,7,0.0,1424.85,433.41
IN-2014-78900,FUR-TA-10003078,JF-15190,154,2673.36,8,0.0,1069.2,432.57
IN-2013-37803,FUR-CH-10003581,AB-10015,155,2046.195,5,0.1,591.045,432.15
ES-2013-3939561,FUR-TA-10000184,JG-15160,38,5451.3,6,0.0,2071.44,432.13
CA-2013-138478,OFF-BI-10001120,DP-13390,156,4535.976,3,0.2,1644.2913,431.68
IN-2014-56808,OFF-AP-10001956,AG-10330,157,1722.2832,4,0.17,539.4432,430.04
US-2013-116729,TEC-PH-10002200,GK-14620,29,2575.944,7,0.2,257.5944,429.66
ES-2014-1972860,OFF-AP-10003382,NF-18475,158,1007.424,2,0.1,134.304,428.83
CA-2011-119375,OFF-ST-10002011,YC-21895,159,2934.33,7,0.0,792.2691,428.8
IN-2011-64326,OFF-AP-10003917,DR-12940,19,4624.29,9,0.1,1644.03,427.46
ES-2011-3259196,OFF-ST-10002900,NB-18655,130,1066.446,6,0.1,-11.934,427.24
IN-2013-48184,TEC-CO-10003819,NM-18445,160,957.6,4,0.0,0.0,427.1
IN-2014-77017,OFF-AP-10000675,TA-21385,161,4864.32,10,0.1,162.12,426.09
CA-2014-150091,FUR-BO-10003404,NP-18670,99,2154.9,5,0.0,129.294,426.05
ID-2014-31363,OFF-AP-10001824,SC-20380,162,1433.8395,3,0.15,-84.3705,424.81
SF-2011-6380,OFF-SME-10000746,PA-9060,163,2784.6,14,0.0,779.52,422.25
ES-2013-1692384,FUR-BO-10004999,RB-19570,164,3063.27,7,0.0,1470.21,419.38
CA-2014-165323,TEC-MA-10003673,SR-20740,1,3404.5,5,0.0,1668.205,419.06
CA-2013-168354,OFF-ST-10001490,RH-19510,165,1606.23,9,0.0,481.869,418.26
US-2011-158554,TEC-PH-10004196,LH-16750,31,2044.8,6,0.2,-332.28,417.99
CA-2011-141796,TEC-PH-10001578,JG-15160,166,1214.85,3,0.0,352.3065,417.47
IN-2012-12162,TEC-CO-10000208,KB-16585,167,1521.0,4,0.0,0.0,416.74
ES-2012-2510515,OFF-AP-10002330,LH-17155,93,2443.905,5,0.1,760.305,416.33
CA-2012-113404,FUR-CH-10003312,EM-13810,168,1348.704,6,0.2,-219.1644,415.69
IR-2013-8520,TEC-EPS-10000053,MZ-7515,169,1141.8,10,0.0,570.9,415.01
IN-2014-68463,OFF-ST-10004060,DM-13345,170,1865.97,9,0.0,802.17,413.95
ID-2011-64599,TEC-PH-10000303,CA-11965,171,6998.64,11,0.0,2939.31,413.8
ES-2013-4632541,FUR-BO-10002708,SC-20305,172,1091.25,3,0.0,119.97,411.64
IN-2014-23761,FUR-BO-10000210,MH-18115,173,1094.22,3,0.0,328.23,411.06
IN-2013-16964,FUR-BO-10001192,KS-16300,106,1320.624,4,0.1,484.224,410.88
IN-2011-76989,TEC-PH-10004664,BG-11740,174,2555.64,4,0.0,664.44,410.22
RS-2014-4620,FUR-SAU-10002255,CR-2625,175,3498.72,8,0.0,594.72,410.05
CA-2013-147417,TEC-CO-10001449,CB-12415,176,1439.976,4,0.4,191.9968,408.79
IN-2014-61393,TEC-CO-10001954,DK-13090,177,2272.86,6,0.0,977.22,406.53
IN-2013-13891,TEC-PH-10003002,JL-15835,178,5211.12,8,0.0,833.76,404.97
IN-2014-32770,TEC-PH-10003856,AP-10720,179,2582.16,4,0.0,361.44,404.08
IN-2014-14780,TEC-PH-10004664,CR-12820,180,3194.55,5,0.0,830.55,403.97
IN-2013-71585,FUR-CH-10000974,BF-11080,106,1704.996,4,0.1,378.876,403.46
IN-2014-20485,OFF-AP-10003866,JM-15265,162,1538.721,6,0.15,325.701,403.26
IN-2013-48184,FUR-CH-10003616,NM-18445,160,1381.32,3,0.0,593.91,403.15
IT-2011-4771701,FUR-BO-10004999,TW-21025,181,1181.547,3,0.1,498.807,401.25
IT-2011-2876489,FUR-CH-10000479,RB-19330,182,1696.248,4,0.1,734.928,401.13
CA-2014-133865,TEC-CO-10001046,PS-19045,29,3359.952,6,0.2,1049.985,400.6
CA-2014-158379,OFF-SU-10002881,JA-15970,78,4663.736,7,0.2,-1049.3406,400.04
SF-2014-2330,OFF-HOO-10000318,AB-60,183,1237.56,4,0.0,606.36,400.03
EG-2012-4640,TEC-NOK-10001283,JR-5670,184,1274.7,2,0.0,140.16,399.96
MX-2011-138002,OFF-AP-10000407,MD-17350,97,3172.14,9,0.0,856.44,399.85
US-2014-102183,OFF-BI-10001359,PK-19075,1,4305.552,6,0.2,1453.1238,398.64
ES-2012-5113958,OFF-AP-10004512,EB-13840,185,3979.29,7,0.0,1989.54,398.5
CA-2014-120376,FUR-CH-10002335,TP-21130,107,1586.69,7,0.0,412.5394,397.52
CA-2014-168109,TEC-MA-10001148,JK-15640,52,2395.2,6,0.2,209.58,396.92
CA-2014-111556,TEC-PH-10001459,CD-11920,1,1259.97,3,0.0,327.5922,394.57
AJ-2013-2640,FUR-BAR-10004434,JL-5835,186,2058.0,4,0.0,946.68,393.62
IN-2011-67651,FUR-BO-10002444,EP-13915,140,2539.8765,7,0.07,709.9365,393.58
ES-2014-4957212,FUR-BO-10004709,MS-17770,187,2898.21,7,0.0,1420.02,393.46
IT-2011-3528798,TEC-MA-10004772,CM-12655,188,1320.0075,5,0.15,357.1575,390.2
LH-2014-5390,FUR-BAR-10003532,JC-6105,189,2171.16,8,0.7,-2750.28,390.09
IN-2014-32588,TEC-CO-10002911,GB-14530,3,4448.223,13,0.1,444.483,386.38
CA-2012-137113,FUR-TA-10001705,TW-21025,52,1913.4,9,0.0,401.814,386.21
US-2011-161760,TEC-PH-10000169,JH-16180,190,2300.616,9,0.4,38.196,386.0
EG-2013-4530,FUR-SAU-10004653,MT-8070,191,2615.94,6,0.0,1072.44,384.41
IN-2011-51964,TEC-CO-10002526,AB-10105,192,1066.68,3,0.0,394.65,383.68
CA-2013-122903,FUR-CH-10002024,LA-16780,107,3504.9,5,0.0,700.98,383.35
LT-2011-270,TEC-NOK-10004339,CV-2805,193,2544.6,4,0.0,814.2,383.01
IN-2011-86278,FUR-TA-10000022,NH-18610,194,3694.68,4,0.0,886.68,382.77
ID-2013-17055,FUR-TA-10002153,HJ-14875,195,2214.849,7,0.3,-221.571,382.1
MX-2013-151764,FUR-CH-10000843,JL-15175,196,1236.48,4,0.0,111.28,381.22
MX-2014-124744,OFF-AP-10002681,MY-18295,197,1805.9,5,0.0,126.4,381.14
US-2011-106992,TEC-MA-10000822,SB-20290,131,3059.982,3,0.4,-509.997,380.77
CA-2014-168109,TEC-AC-10002049,JK-15640,52,1687.8,4,0.0,742.632,379.56
CA-2011-117639,OFF-BI-10003925,MW-18235,198,2715.93,7,0.0,1276.4871,378.83
MX-2014-140305,OFF-AP-10004627,KC-16540,199,1810.3,5,0.0,54.3,378.26
MX-2014-113845,TEC-PH-10001076,CS-12460,199,2120.5,5,0.0,106.0,377.7
IN-2014-61932,TEC-PH-10001457,HA-14920,200,1275.0,2,0.0,140.22,377.58
ES-2012-4589770,TEC-MA-10004534,MT-17815,201,1593.648,7,0.15,-225.162,377.03
ES-2014-1331794,FUR-BO-10003991,FW-14395,202,1114.236,3,0.1,383.706,376.88
ES-2012-4621754,TEC-PH-10002623,BH-11710,4,2944.08,5,0.1,1112.13,376.58
ID-2014-41191,OFF-AP-10002793,DK-12895,203,3309.2598,7,0.17,318.8598,374.8
MX-2014-128405,FUR-CH-10002093,KD-16270,204,897.48,9,0.0,322.92,374.38
ES-2011-1858721,FUR-BO-10003103,SC-20845,205,2056.05,5,0.0,390.6,372.5
MX-2012-168865,TEC-CO-10001818,CY-12745,206,2365.6592,10,0.002,18.8592,372.32
IN-2011-52279,TEC-CO-10002040,HL-15040,207,1336.356,7,0.4,44.43600000000001,371.74
IN-2012-14724,TEC-CO-10001654,CT-11995,208,3038.64,8,0.0,1245.84,371.51
ES-2013-3042991,OFF-AP-10002397,CC-12370,209,2698.65,9,0.0,890.46,369.98
LT-2013-3900,TEC-CAN-10001853,GR-4560,193,3799.08,12,0.0,455.76,369.73
IN-2012-18518,FUR-CH-10001207,TT-21070,210,2756.34,6,0.0,413.28,369.4
IT-2012-4058325,TEC-PH-10002597,PO-19195,211,983.88,8,0.1,-11.16,369.17
IN-2012-42220,FUR-CH-10003232,ED-13885,212,1719.807,5,0.27,117.657,368.44
IN-2014-17972,OFF-AP-10003917,AP-10915,140,1421.541,3,0.17,428.121,367.57
MX-2014-151554,TEC-CO-10002617,TM-21490,213,1053.6884,5,0.002,441.2884,367.55
IT-2011-3270900,TEC-CO-10000556,AW-10840,127,1440.84,8,0.5,-1268.04,367.35
IN-2011-28087,FUR-CH-10003232,DP-13105,34,2544.372,6,0.1,621.7919999999999,366.89
CA-2012-123113,OFF-AP-10000275,AT-10735,214,2625.12,8,0.0,735.0336,366.72
RO-2012-9480,TEC-HEW-10003460,SG-10605,215,1554.48,8,0.0,341.76,366.58
MX-2013-109981,TEC-PH-10004196,BM-11785,216,1278.0,3,0.0,89.46,365.9
MX-2012-130351,TEC-PH-10002672,FH-14365,206,3474.08,8,0.0,625.28,365.65
MX-2012-135076,TEC-PH-10000106,DK-13375,217,2550.0,6,0.0,357.0,365.2
CA-2013-114972,OFF-AP-10003057,PF-19225,29,1101.48,4,0.0,429.5772,364.76
CA-2013-146633,OFF-BI-10003527,TG-21310,29,1016.792,1,0.2,381.297,363.87
CA-2013-110499,TEC-CO-10002095,YC-21895,168,1199.976,3,0.2,374.9925,363.78
